,plot.id,Site,AGB,PTN,PTP,BGB,SSOC,SSTN,TAN,SSTP,SR
1,P751.1,P751,38.11,2.71,0.13,142.24,3013.02,340,59.47,68.63,8
2,P751.5,P751,36.65,2.65,0.14,86.76,3086.44,340,55.61,65.56,7
3,P751.9,P751,36.88,2.64,0.14,244.65,2968.72,325,28.02,64.65,7
4,P752.1,P752,97.15,1.77,0.16,408.9,1031.18,80,6.5,62.43,4
5,P752.5,P752,45.44,1.66,0.14,571.34,1207.01,80,7.78,66.68,3
6,P752.9,P752,41.72,1.64,0.14,370.89,741.66,60,8.48,48.04,3
7,P753.1,P753,93.81,1.89,0.23,325.6,1782.72,170,9.88,76.66,5
8,P753.5,P753,80.67,1.78,0.18,131.51,1616.82,135,25.24,70.36,6
9,P753.9,P753,72.53,1.83,0.15,101.86,1574.74,120,17.59,66.95,5
10,P755.1,P755,211.66,1.9,0.2,393.62,4854.52,445,73.32,77.06,24
11,P755.5,P755,116.82,2.14,0.17,404.17,5649.96,530,79.42,92.02,15
12,P755.9,P755,208.24,1.79,0.17,706.67,5852.11,545,122.11,89.69,11
13,P756.1,P756,102.31,1.68,0.16,362.88,1777.28,160,25.71,48.69,12
14,P756.5,P756,112.29,2.15,0.18,495.85,1963.17,155,17.26,56.57,8
15,P756.9,P756,103.34,2.05,0.18,301.04,2033.2,175,18.31,53.28,13
16,P757.1,P757,225.05,1.94,0.17,812.9,13530.09,1110,190.91,106.95,15
17,P757.5,P757,364.67,1.67,0.16,801.8,9442.52,795,125.92,92.9,14
18,P757.9,P757,372.48,1.96,0.18,1125.21,9967.38,865,145.53,94.84,12
19,P758.1,P758,60.77,2.21,0.15,999.16,6705.02,520,57.79,85.36,13
20,P758.5,P758,123.85,2.07,0.15,575.16,9535.04,755,120.91,88.88,14
21,P758.9,P758,47.19,1.26,0.16,425.09,7107.5,580,56.7,93.23,10
22,P760.1,P760,75.32,2.69,0.24,2473.98,10859.45,875,69.42,94.07,12
23,P760.5,P760,83.16,2.87,0.2,1167.41,6848.38,595,111.27,76.84,14
24,P760.9,P760,85.24,2.3,0.17,1622.52,5355.25,420,37.71,64.81,14
25,P761.1,P761,16.79,2.18,0.14,1146.26,14693.7,1190,134.85,97.32,7
